open,high,low,close,volume,trade_count,vwap,sma5,sma50,sma100,ema20,rsi14,macd,upperBB,lowerBB,ATR14,momentum,deviation,zscore,target
232.51,233.38,231.37,232.14,39391509.0,428697.0,232.323694,230.33199999999997,215.54760000000002,208.66549999999998,225.7975924142025,60.39396479463532,-0.10023737082389594,243.89366992637898,207.62733007362104,3.7956857142857183,-9.700000000000017,16.59239999999997,0.7036276642088368,0
229.25,230.85,226.97,229.72,44075638.0,598029.0,229.020572,230.844,216.122,209.2385,226.17115504142131,50.14699706005878,-0.29439702171542237,241.87967267319073,212.27832732680935,3.8985428571428593,-8.310000000000002,13.597999999999985,0.35687567157454403,1
237.21,238.85,234.36,238.47,66427835.0,898535.0,236.992971,232.67600000000002,216.86140000000003,209.6347,227.342473608905,58.89889196675899,0.11380746598526059,239.35403911011556,218.35896088988446,4.168542857142859,2.539999999999992,21.608599999999967,1.8315721235534748,1
238.45,239.8999,236.74,239.78,47549429.0,541770.0,238.494545,234.53400000000002,217.65099999999998,210.12829999999997,228.52699993186644,61.80836707152497,0.4031005632124902,238.93706696461916,221.42893303538094,4.089250000000001,4.039999999999992,22.12900000000002,2.192580897264704,0
239.995,241.32,238.4901,239.69,54848690.0,610605.0,239.673194,235.95999999999998,218.4136,210.54370000000003,229.5901427954982,64.1906096706377,0.5124336053294654,239.52610425520382,222.80589574479617,3.9381714285714287,4.359999999999985,21.276399999999995,2.0392090193598147,0
239.3,240.15,236.34,237.88,48999495.0,563611.0,238.196856,237.108,219.1512,210.8973,230.37965300545076,61.787521079258035,0.3923054309692722,240.41979946186578,222.76520053813428,3.9953142857142865,-1.1899999999999977,18.728800000000007,1.4245579924329481,0
237.0,238.7805,233.36,234.35,66313918.0,757845.0,235.615688,238.03399999999996,219.8166,211.21940000000004,230.7577812906459,55.76864535768644,0.023992203727253525,240.60443229743532,223.2975677025646,4.131064285714284,6.8700000000000045,14.5334,0.5544620718211497,0
232.185,232.42,225.95,226.79,83440810.0,1031749.0,227.773239,235.698,220.24900000000002,211.5446,230.37989735820344,51.087562744004465,-0.7378108868074662,240.7124201915313,222.9035798084687,4.388921428571428,5.949999999999989,6.540999999999968,-1.1270806839893879,1
226.875,230.45,226.65,230.03,50195174.0,592763.0,229.186016,233.748,220.6932,211.87510000000003,230.34657380027932,56.75177678336404,-1.0153984341772464,240.55096946559553,222.73503053440453,4.464664285714282,13.050000000000011,9.33680000000001,-0.36214762662350414,1
229.22,234.51,229.02,234.07,55824216.0,602121.0,233.263743,232.62399999999997,221.12580000000003,212.28420000000003,230.70118581930032,58.05463364820015,-0.9215690325007841,240.6686556468068,222.74634435319317,4.557521428571424,24.389999999999986,12.944199999999967,0.527275742798164,1
